,Name,Dish,Area,Service,Min,Contact,WhatsApp,Website,Address,lng,lat
0,001 Cafe,"Curry Chicken Rice, Bee Hoon",East,Delivery / Self Pickup,$10 with $2.99 delivery fee (Tampines),,96989961.0,www.001Cafe.sg,300 Tampines Ave 5 #01-01C Tampines Junction Singapore 529653,103.94194050000004,1.3523310000000492
2,11th Street Teochew Fish Soup,Fish Soup,East,Tampines,Pls Enquire,92365933,,,107 Tampines Street 11,103.94829000000004,1.3483890000000542
3,168 Curry Chicken,Curry Chicken,East,Self Pickup,,,91058220.0,,51 Old Airport Road #01-72,103.88580750000006,1.3082490000000462
4,17 Teochew Fishball Noodle,Fishball Noodle,East,Delivery / Self Pickup,,98288688,,,117 Aljunied Avenue 2 #01-117,103.88702250000006,1.3206420000000207
5,283 Bukit Batok Rojak & Pancake,"Rojak, Pancake",West,Self Pickup,,86191288,,,283 Bukit Batok East Avenue 3 #01-285 Singapore 650283,103.75753950000006,1.3469400000000746
6,3 Monkeys,"Western, Pasta, Burgers",South,Islandwide,$5 per location with min $50 order,64713224,97816775.0,,122 Pasir Panjang Singapore 118544,103.79323800000009,1.2760830000000283
7,38 BBQ Seafood,BBQ Seafood,East,Self Pickup,,97382910,,,1220 East Coast Parkway #01-38 Singapore 468960,103.93485300000003,1.3067910000000325
8,493 Prawn Noodle,"Prawn Noodle, Lor Mee",West,Delivery / Self Pickup,Pls Enquire,,84480393.0,,493 Jurong West Street 41 Singapore 640493,103.72498650000006,1.3489830000000325
9,539 Bedok Kway Chap,Kway Chap,East,Self Pickup,,98312596,,,539 Bedok North Street 3 #01-593 Singapore 460539,103.92525450000005,1.3312350000000492
11,7th Heaven KTV & Cafe,Western,East,Limited Delivery,$25 FOC East and North-East Area Only,,90693097.0,,1/A Tampines Street 92 SAFRA Tampines #03-02,103.92809400000004,1.3669110000000728
13,8 Korean BBQ (Orchard),Korean,Central,Islandwide,Pls Enquire,90189212,,,1 Scotts Rd #04 - 20 / 21 Singapore 228208,103.83185250000008,1.3060440000000426
14,87 Just Thai,Thai Food,South,Delivery / Self Pickup,,64733396,97640669.0,,87 Pasir Panjang Road Singapore 118510,103.79533950000007,1.2748230000000262
15,928 Yishun Laksa,Laksa,North,Delivery / Self Pickup,$5 per location in Yishun and Khatib,,92788282.0,,928 Yishun Central 1 #01-155 Singapore 760928,103.83737850000006,1.4272110000000566
16,99 Thai Story Kitchen SG,Thai Food,North,Islandwide,$20 with $3-$10 delivery fee / $30 FOC,97738887,,,151 Bishan Street 11 #01-195,103.85555400000004,1.3450680000000261
17,A Wen Mianshi (Orchard),"Ban Mian, Fuzhou, Seafood Noodle",Central,Self Pickup,,96977813,,,304 Orchard Rd #01-41 Singapore 238863,103.83372450000007,1.3043070000000512
